"sex","year","month","L","M","S","SD","length","stature","Pre_1","Per_3","Per_5","Per_10","Per_15","Per_25","Per_50","Per_75","Per_85","Per_90","Per_95","Per_97","Per_99","chart_type"
"M",0,0,1,49.8842,0.03795,1.8931,,,45.5,46.3,46.8,47.5,47.9,48.6,49.9,51.2,51.8,52.3,53,53.4,54.3,"L"
"M",0,1,1,54.7244,0.03557,1.9465,,,50.2,51.1,51.5,52.2,52.7,53.4,54.7,56,56.7,57.2,57.9,58.4,59.3,"L"
"M",0,2,1,58.4249,0.03424,2.0005,,,53.8,54.7,55.1,55.9,56.4,57.1,58.4,59.8,60.5,61,61.7,62.2,63.1,"L"
"M",0,3,1,61.4292,0.03328,2.0444,,,56.7,57.6,58.1,58.8,59.3,60.1,61.4,62.8,63.5,64,64.8,65.3,66.2,"L"
"M",0,4,1,63.886,0.03257,2.0808,,,59,60,60.5,61.2,61.7,62.5,63.9,65.3,66,66.6,67.3,67.8,68.7,"L"
"M",0,5,1,65.9026,0.03204,2.1115,,,61,61.9,62.4,63.2,63.7,64.5,65.9,67.3,68.1,68.6,69.4,69.9,70.8,"L"
"M",0,6,1,67.6236,0.03165,2.1403,,,62.6,63.6,64.1,64.9,65.4,66.2,67.6,69.1,69.8,70.4,71.1,71.6,72.6,"L"
"M",0,7,1,69.1645,0.03139,2.1711,,,64.1,65.1,65.6,66.4,66.9,67.7,69.2,70.6,71.4,71.9,72.7,73.2,74.2,"L"
"M",0,8,1,70.5994,0.03124,2.2055,,,65.5,66.5,67,67.8,68.3,69.1,70.6,72.1,72.9,73.4,74.2,74.7,75.7,"L"
"M",0,9,1,71.9687,0.03117,2.2433,,,66.8,67.7,68.3,69.1,69.6,70.5,72,73.5,74.3,74.8,75.7,76.2,77.2,"L"
"M",0,10,1,73.2812,0.03118,2.2849,,,68,69,69.5,70.4,70.9,71.7,73.3,74.8,75.6,76.2,77,77.6,78.6,"L"
"M",0,11,1,74.5388,0.03125,2.3293,,,69.1,70.2,70.7,71.6,72.1,73,74.5,76.1,77,77.5,78.4,78.9,80,"L"
"M",1,12,1,75.7488,0.03137,2.3762,,,70.2,71.3,71.8,72.7,73.3,74.1,75.7,77.4,78.2,78.8,79.7,80.2,81.3,"L"
"M",1,13,1,76.9186,0.03154,2.426,,,71.3,72.4,72.9,73.8,74.4,75.3,76.9,78.6,79.4,80,80.9,81.5,82.6,"L"
"M",1,14,1,78.0497,0.03174,2.4773,,,72.3,73.4,74,74.9,75.5,76.4,78,79.7,80.6,81.2,82.1,82.7,83.8,"L"
"M",1,15,1,79.1458,0.03197,2.5303,,,73.3,74.4,75,75.9,76.5,77.4,79.1,80.9,81.8,82.4,83.3,83.9,85,"L"
"M",1,16,1,80.2113,0.03222,2.5844,,,74.2,75.4,76,76.9,77.5,78.5,80.2,82,82.9,83.5,84.5,85.1,86.2,"L"
"M",1,17,1,81.2487,0.0325,2.6406,,,75.1,76.3,76.9,77.9,78.5,79.5,81.2,83,84,84.6,85.6,86.2,87.4,"L"
"M",1,18,1,82.2587,0.03279,2.6973,,,76,77.2,77.8,78.8,79.5,80.4,82.3,84.1,85.1,85.7,86.7,87.3,88.5,"L"
"M",1,19,1,83.2418,0.0331,2.7553,,,76.8,78.1,78.7,79.7,80.4,81.4,83.2,85.1,86.1,86.8,87.8,88.4,89.7,"L"
"M",1,20,1,84.1996,0.03342,2.814,,,77.7,78.9,79.6,80.6,81.3,82.3,84.2,86.1,87.1,87.8,88.8,89.5,90.7,"L"
"M",1,21,1,85.1348,0.03376,2.8742,,,78.4,79.7,80.4,81.5,82.2,83.2,85.1,87.1,88.1,88.8,89.9,90.5,91.8,"L"
"M",1,22,1,86.0477,0.0341,2.9342,,,79.2,80.5,81.2,82.3,83,84.1,86,88,89.1,89.8,90.9,91.6,92.9,"L"
"M",1,23,1,86.941,0.03445,2.9951,,,80,81.3,82,83.1,83.8,84.9,86.9,89,90,90.8,91.9,92.6,93.9,"L"
"M",2,24,1,87.8161,0.03479,3.0551,,,80.7,82.1,82.8,83.9,84.6,85.8,87.8,89.9,91,91.7,92.8,93.6,94.9,"L"
"F",0,0,1,49.1477,0.0379,1.8627,,,44.8,45.6,46.1,46.8,47.2,47.9,49.1,50.4,51.1,51.5,52.2,52.7,53.5,"L"
"F",0,1,1,53.6872,0.0364,1.9542,,,49.1,50,50.5,51.2,51.7,52.4,53.7,55,55.7,56.2,56.9,57.4,58.2,"L"
"F",0,2,1,57.0673,0.03568,2.0362,,,52.3,53.2,53.7,54.5,55,55.7,57.1,58.4,59.2,59.7,60.4,60.9,61.8,"L"
"F",0,3,1,59.8029,0.0352,2.1051,,,54.9,55.8,56.3,57.1,57.6,58.4,59.8,61.2,62,62.5,63.3,63.8,64.7,"L"
"F",0,4,1,62.0899,0.03486,2.1645,,,57.1,58,58.5,59.3,59.8,60.6,62.1,63.5,64.3,64.9,65.7,66.2,67.1,"L"
"F",0,5,1,64.0301,0.03463,2.2174,,,58.9,59.9,60.4,61.2,61.7,62.5,64,65.5,66.3,66.9,67.7,68.2,69.2,"L"
"F",0,6,1,65.7311,0.03448,2.2664,,,60.5,61.5,62,62.8,63.4,64.2,65.7,67.3,68.1,68.6,69.5,70,71,"L"
"F",0,7,1,67.2873,0.03441,2.3154,,,61.9,62.9,63.5,64.3,64.9,65.7,67.3,68.8,69.7,70.3,71.1,71.6,72.7,"L"
"F",0,8,1,68.7498,0.0344,2.365,,,63.2,64.3,64.9,65.7,66.3,67.2,68.7,70.3,71.2,71.8,72.6,73.2,74.3,"L"
"F",0,9,1,70.1435,0.03444,2.4157,,,64.5,65.6,66.2,67,67.6,68.5,70.1,71.8,72.6,73.2,74.1,74.7,75.8,"L"
"F",0,10,1,71.4818,0.03452,2.4676,,,65.7,66.8,67.4,68.3,68.9,69.8,71.5,73.1,74,74.6,75.5,76.1,77.2,"L"
"F",0,11,1,72.771,0.03464,2.5208,,,66.9,68,68.6,69.5,70.2,71.1,72.8,74.5,75.4,76,76.9,77.5,78.6,"L"
"F",1,12,1,74.015,0.03479,2.575,,,68,69.2,69.8,70.7,71.3,72.3,74,75.8,76.7,77.3,78.3,78.9,80,"L"
"F",1,13,1,75.2176,0.03496,2.6296,,,69.1,70.3,70.9,71.8,72.5,73.4,75.2,77,77.9,78.6,79.5,80.2,81.3,"L"
"F",1,14,1,76.3817,0.03514,2.6841,,,70.1,71.3,72,72.9,73.6,74.6,76.4,78.2,79.2,79.8,80.8,81.4,82.6,"L"
"F",1,15,1,77.5099,0.03534,2.7392,,,71.1,72.4,73,74,74.7,75.7,77.5,79.4,80.3,81,82,82.7,83.9,"L"
"F",1,16,1,78.6055,0.03555,2.7944,,,72.1,73.3,74,75,75.7,76.7,78.6,80.5,81.5,82.2,83.2,83.9,85.1,"L"
"F",1,17,1,79.671,0.03576,2.849,,,73,74.3,75,76,76.7,77.7,79.7,81.6,82.6,83.3,84.4,85,86.3,"L"
"F",1,18,1,80.7079,0.03598,2.9039,,,74,75.2,75.9,77,77.7,78.7,80.7,82.7,83.7,84.4,85.5,86.2,87.5,"L"
"F",1,19,1,81.7182,0.0362,2.9582,,,74.8,76.2,76.9,77.9,78.7,79.7,81.7,83.7,84.8,85.5,86.6,87.3,88.6,"L"
"F",1,20,1,82.7036,0.03643,3.0129,,,75.7,77,77.7,78.8,79.6,80.7,82.7,84.7,85.8,86.6,87.7,88.4,89.7,"L"
"F",1,21,1,83.6654,0.03666,3.0672,,,76.5,77.9,78.6,79.7,80.5,81.6,83.7,85.7,86.8,87.6,88.7,89.4,90.8,"L"
"F",1,22,1,84.604,0.03688,3.1202,,,77.3,78.7,79.5,80.6,81.4,82.5,84.6,86.7,87.8,88.6,89.7,90.5,91.9,"L"
"F",1,23,1,85.5202,0.03711,3.1737,,,78.1,79.6,80.3,81.5,82.2,83.4,85.5,87.7,88.8,89.6,90.7,91.5,92.9,"L"
"F",2,24,1,86.4153,0.03734,3.2267,,,78.9,80.3,81.1,82.3,83.1,84.2,86.4,88.6,89.8,90.6,91.7,92.5,93.9,"L"
"M",0,0,-0.3521,2.441,0.09182,,45,,,1.597028518,1.690593749,1.830303285,,2.053702326,2.289757735,2.515338948,,2.710846705,2.824861387,2.89780918,3,"WL"
"M",0,0,-0.3521,2.5244,0.09153,,45.5,,,1.702957417,1.792954672,1.928805392,,2.149314246,2.38617219,2.615766477,,2.817044967,2.935328776,3.011338317,3.1,"WL"
"M",0,0,-0.3521,2.6077,0.09124,,46.5,,,1.918742401,2.00306056,2.132607345,,2.34835311,2.587097922,2.824925474,,3.038262787,3.165635227,3.248240003,3.3,"WL"
"M",0,0,-0.3521,2.6913,0.09094,,47.5,,,2.139283471,2.219514291,2.344442385,,2.556834051,2.797952593,3.044241159,,3.270147404,3.407200737,3.49693518,3.4,"WL"
"M",0,0,-0.3521,2.7755,0.09065,,48.5,,,2.364025965,2.441421905,2.563170915,,2.773593907,3.017679791,3.272646214,,3.511467362,3.65864093,3.755928383,3.5,"WL"
"M",0,0,-0.3521,2.8609,0.09036,,49.5,,,2.59243106,2.667982282,2.78776291,,2.997514515,3.245225583,3.509103506,,3.761071952,3.918675144,4.023835077,3.6,"WL"
"M",0,0,-0.3521,2.948,0.09007,,50.5,,,2.823966844,2.89846365,3.017289051,,3.227549277,3.479567767,3.752613117,,4.01788174,4.18611338,4.299368538,3.7,"WL"
"M",0,0,-0.3521,3.0377,0.08977,,51.5,,,3.058104103,3.132186651,3.250908274,,3.462735881,3.719739648,4.002224198,,4.280884515,4.459845507,4.581326217,3.8,"WL"
"M",0,0,-0.3521,3.1308,0.08948,,52.5,,,3.294322225,3.368517223,3.487856107,,3.702195087,3.964838222,4.257039544,,4.549132322,4.738836361,4.868585555,3.9,"WL"
"M",0,0,-0.3521,3.2276,0.08919,,53.5,,,3.532109837,3.606859589,3.727435106,,3.94512977,4.214033476,4.516224426,,4.821741654,5.022119957,5.160094928,4,"WL"
