malaffi_code,malaffi_description,hms_name,is_default
AGO,Angola,Angola,
ALB,Albania,Albania,
AND,Andorra,Andorra,
ARE,United Arab Emirates,United Arab Emirates,
ARG,Argentina,Argentina,
ARM,Armenia,Armenia,
ASM,Samoa,Samoa,
ATG,Antigua and Barbuda,Antigua and Barbuda,
AUS,Australia,Australia,
AUT,Austria,Austria,
AZE,Azerbaijan,Azerbaijan,
BDI,Burundi,Burundi,
BEL,Belgium,Belgium,
BEN,Benin,Benin,
BFA,Burkina Faso,Burkina Faso,
BGD,Bangladesh,Bangladesh,
BGR,Bulgaria,Bulgaria,
BHR,Bahrain,Bahrain,
BHS,Bahamas,Bahamas,
BID,Without Nationality,Without Nationality,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,
BLR,Belarus,Belarus,
BLZ,Belize,Belize,
BOL,Bolivia,Bolivia,
BRA,Brazil,Brazil,
BRB,Barbados,Barbados,
BRN,Brunei Darussalam,Brunei Darussalam,
BTN,Bhutan,Bhutan,
BWA,Botswana,Botswana,
CAF,Central African Republic,Central African Republic,
CAN,Canada,Canada,
CHE,Switzerland,Switzerland,
CHL,Chile,Chile,
CHN,China,China,
CIV,Côte d'Ivoire,Côte d'Ivoire,
CMR,Cameroon,Cameroon,
COG,Congo; Democratic Republic of the Congo,Congo; Democratic Republic of the Congo,
COK,Cook Islands,Cook Islands,
COL,Colombia,Colombia,
COM,Comoros,Comoros,
CPV,Cape Verde,Cape Verde,
CRI,Costa Rica,Costa Rica,
CUB,Cuba,Cuba,
CYP,Cyprus,Cyprus,
CZE,Czech Republic,Czech Republic,
DEU,Germany,Germany,
DJI,Djibouti,Djibouti,
DMA,Dominica,Dominica,
DNK,Denmark,Denmark,
DOM,Dominican Republic,Dominican Republic,
DZA,Algeria,Algeria,
ECU,Ecuador,Ecuador,
EGY,Egypt,Egypt,
ERI,Eritrea,Eritrea,
ESH,Western Sahara,Western Sahara,
ESP,Spain,Spain,
EST,Estonia,Estonia,
ETH,Ethiopia,Ethiopia,
FIN,Finland,Finland,
FJI,Fiji,Fiji,
FRA,France,France,
FSM,Micronesia,Micronesia,
GAB,Gabon,Gabon,
GBR,United Kingdom,United Kingdom,
GEO,Georgia,Georgia,
GHA,Ghana,Ghana,
GIN,Guinea,Guinea,
GMB,Gambia,Gambia,
GNB,Guinea-Bissau,Guinea-Bissau,
GNQ,Equatorial Guinea,Equatorial Guinea,
GRC,Greece,Greece,
GRD,Grenada,Grenada,
GTM,Guatemala,Guatemala,
GUY,Guyana,Guyana,
HND,Honduras,Honduras,
HRV,Croatia,Croatia,
HTI,Haiti,Haiti,
HUN,Hungary,Hungary,
IDN,Indonesia,Indonesia,
IRL,Ireland,Ireland,
IRN,Iran,Iran,
IND,India,India,
IRQ,Iraq,Iraq,
ISL,Iceland,Iceland,
ISR,Israel,Israel,
ITA,Italy,Italy,
JAM,Jamaica,Jamaica,
JOR,Jordan,Jordan,
JPN,Japan,Japan,
KAZ,Kazakhstan,Kazakhstan,
KEN,Kenya,Kenya,
KGZ,Kyrgyzstan,Kyrgyzstan,
KHM,Cambodia,Cambodia,
KIR,Kiribati,Kiribati,
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,
KOR,"Republic of Korea, DPRK","Republic of Korea, DPRK",
KWT,Kuwait,Kuwait,
LAO,Lao People's Democratic Republic,Lao People's Democratic Republic,
LBN,Lebanon,Lebanon,
LBR,Liberia,Liberia,
LBY,Libyan Arab Jamahiriya,Libyan Arab Jamahiriya,
LCA,Saint Lucia,Saint Lucia,
LKA,Sri Lanka,Sri Lanka,
LSO,Lesotho,Lesotho,
LTU,Lithuania,Lithuania,
LUX,Luxembourg,Luxembourg,
LVA,Latvia,Latvia,
MAR,Morocco,Morocco,
MCO,Monaco,Monaco,
MDA,Republic of Moldova,Republic of Moldova,
MDG,Madagascar,Madagascar,
MDV,Maldives,Maldives,
MEX,Mexico,Mexico,
MHL,Marshall Islands,Marshall Islands,
MKD,Republic of Macedonia,Republic of Macedonia,
MLI,Mali,Mali,
MLT,Malta,Malta,
MMR,Myanmar,Myanmar,
MNG,Mongolia,Mongolia,
MON,Montenegro,Montenegro,
MOZ,Mozambique,Mozambique,
MRT,Mauritania,Mauritania,
MUS,Mauritius,Mauritius,
MWI,Malawi,Malawi,
MYS,Malaysia,Malaysia,
NAM,Namibia,Namibia,
NER,Niger,Niger,
NGA,Nigeria,Nigeria,
NIC,Nicaragua,Nicaragua,
NIU,Niue,Niue,
NLD,Netherlands,Netherlands,
NOR,Norway,Norway,
NPL,Nepal,Nepal,
NRU,Nauru,Nauru,
NZL,New Zealand,New Zealand,
OMN,Oman,Oman,
PAK,Pakistan,Pakistan,
PAN,Panama,Panama,
PER,Peru,Peru,
PHL,Philippines,Philippines,
PLW,Palau,Palau,
PNG,Papua New Guinea,Papua New Guinea,
POL,Poland,Poland,
PRT,Portugal,Portugal,
PRY,Paraguay,Paraguay,
PSE,Palestine,Palestine,
QAT,Qatar,Qatar,
ROM,Romania,Romania,
RUS,Russian Federation,Russian Federation,
RWA,Rwanda,Rwanda,
SAU,Saudi Arabia,Saudi Arabia,
SDN,Sudan,Sudan,
SEN,Senegal,Senegal,
SGP,Singapore,Singapore,
SLB,Solomon Islands,Solomon Islands,
SLE,Sierra Leone,Sierra Leone,
SLV,El Salvador,El Salvador,
SMR,San Marino,San Marino,
SOM,Somalia,Somalia,
SRB,Serbia,Serbia,
SSD,South Sudan,South Sudan,
STP,Sao Tome and Principe,Sao Tome and Principe,
SUR,Suriname,Suriname,
SVK,Slovakia,Slovakia,
SVN,Slovenia,Slovenia,
SWE,Sweden,Sweden,
SWZ,Swaziland,Swaziland,
SYC,Seychelles,Seychelles,
SYR,Syrian Arab Republic,Syrian Arab Republic,
TCD,Chad,Chad,
TGO,Togo,Togo,
THA,Thailand,Thailand,
TJK,Tajikistan,Tajikistan,
TKM,Turkmenistan,Turkmenistan,
TLS,Timor-Leste,Timor-Leste,
TON,Tonga,Tonga,
TTO,Trinidad and Tobago,Trinidad and Tobago,
TUN,Tunisia,Tunisia,
TUR,Turkey,Turkey,
TUV,Tuvalu,Tuvalu,
TWN,Republic of China (Taiwan),Republic of China (Taiwan),
TZA,United Republic of Tanzania,United Republic of Tanzania,
UGA,Uganda,Uganda,
UKR,Ukraine,Ukraine,
UNA,United Nations,United Nations,
URY,Uruguay,Uruguay,
USA,United States of America,United States of America,
UZB,Uzbekistan,Uzbekistan,
VAT,Vatican City,Vatican City,
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,
VEN,Venezuela,Venezuela,
VNM,Viet Nam,Viet Nam,
VUT,Vanuatu,Vanuatu,
YEM,Yemen,Yemen,
ZAF,South Africa,South Africa,
ZMB,Zambia,Zambia,
ZWE,Zimbabwe,Zimbabwe,
BID,Without Nationality,OTHER,true
AUS,Australia,Heard Island and McDonald Islands,
ITA,Italy ,ITLY,
ARE,United Arab Emirates,UAE,
FIN,Finland,Åland Islands,
USA,United States of America,American Samoa,
GBR,United Kingdom,Anguilla,
BID,Without Nationality,Antarctica,
NLD,Netherlands,Aruba,
GBR,United Kingdom,Bermuda,
NOR,Norway,Bouvet Island,
GBR,United Kingdom,British Indian Ocean Territory,
CAF,Central African Republic,Cabo Verde,
GBR,United Kingdom,Cayman Islands,
AUS,Australia,Christmas Island,
AUS,Australia,Cocos (Keeling) Islands,
COG,Congo; Democratic Republic of the Congo,Congo,
COG,Congo; Democratic Republic of the Congo,Congo (Democratic Republic of the),
ESH,Western Sahara,Cote d Ivoire,
NLD,Netherlands,Curaçao,
CZE,Czech Republic,Czechia,
MWI,Malawi,Falkland Islands (Malvinas),
DNK,Denmark,Faroe Islands,
FRA,France,French Guiana,
FRA,France,French Polynesia,
FRA,France,French Southern Territories,
GBR,United Kingdom,Gibraltar,
DNK,Denmark,Greenland,
FRA,France,Guadeloupe,
USA,United States of America,Guam,
GBR,United Kingdom,Guernsey,
CHN,China,Hong Kong,
GBR,United Kingdom,Isle of Man,
GBR,United Kingdom,Jersey,
KOR,Republic of Korea; DPRK,North Korea,
KOR,Republic of Korea; DPRK,South Korea,
LAO,Lao People's Democratic Republic,Laos,
LBY,Libyan Arab Jamahiriya,Libya,
DEU,Germany,Liechtenstein,
CHN,China,Macao,
MKD,Republic of Macedonia,Macedonia,
FRA,France,Martinique,
FRA,France,Mayotte,
MDA,Republic of Moldova,Moldova,
GBR,United Kingdom,Montserrat,
FRA,France,New Caledonia,
AUS,Australia,Norfolk Island,
USA,United States of America,Northern Mariana Islands,
GBR,United Kingdom,Pitcairn,
USA,United States of America,Puerto Rico,
FRA,France,Réunion,
FRA,France,Saint Barthélemy,
FRA,France,Saint Martin (French),
FRA,France,Saint Pierre and Miquelon,
NLD,Netherlands,Sint Maarten (Dutch),
GBR,United Kingdom,South Georgia and the South Sandwich Islands,
NOR,Norway,Svalbard and Jan Mayen,
TWN,Republic of China (Taiwan),Taiwan,
TZA,United Republic of Tanzania,Tanzania,
NZL,New Zealand,Tokelau,
GBR,United Kingdom,Turks and Caicos Islands,
USA,United States of America,US Minor Outlying Islands,
GBR,United Kingdom,Virgin Islands (British),
USA,United States of America,Virgin Islands (U.S.),
FRA,France,Wallis and Futuna,
GBR,United Kingdom,European Union,
GBR,United Kingdom,British Overseas Territories Citizen,
GBR,United Kingdom,British National,
GBR,United Kingdom,British Overseas Citizen,
BID,Without Nationality,British Protected Person,
BID,Without Nationality,British Subject,
