malaffi_code,malaffi_description,hms_name,is_default
4,Anesthesia,Anaesthesia,
4,Anesthesia,Anaesthesiology,
4,Anesthesia,Anaesthetics,
4,Anesthesia,Anaesthetist,
4,Anesthesia,ANESTHESIA,
4,Anesthesia,Anesthesiologist,
4,Anesthesia,Anesthesiology,
5,Audiology,AUDIOLOGIST,
5,Audiology,Audiology,
5,Audiology,Auditory System,
5,Audiology,OCMC AUDIOLOGY,
7,Cardiology,Cardiologist,
7,Cardiology,Cardiology,
7,Cardiology,CARDIOLOGY - Teleconsultation,
7,Cardiology,CARDIOLOGY-Tele Consult,
7,Cardiology,CARDIOLOGY-Teleconsultation,
7,Cardiology,LLHMC CARDIOLOGY,
11,Dermatology,Dermatalogy,
11,Dermatology,Dermatolgoy,
11,Dermatology,Dermatologist,
11,Dermatology,Dermatology,
11,Dermatology,DERMATOLOGY - Teleconsultation,
11,Dermatology,DERMATOLOGY And WOUND CARE,
11,Dermatology,Dermatology Specialty,
11,Dermatology,DERMATOLOGY-Tele Consult,
11,Dermatology,DERMATOLOGY-Teleconsultation,
11,Dermatology,Integumentary System,
11,Dermatology,LLHMC DERMATOLOGY,
11,Dermatology,Skin Care,
12,Diagnostic Radiology,DIAGNOSTICS,
13,Emergency Medicine,ACCIDENT & EMERGENCY,
13,Emergency Medicine,ACCIDENT AND EMERGENCY,
13,Emergency Medicine,E&M,
13,Emergency Medicine,Emergency,
13,Emergency Medicine,Emergency Department,
13,Emergency Medicine,Emergency Medicine,
13,Emergency Medicine,Emergency Room,
13,Emergency Medicine,ER,
13,Emergency Medicine,Urgent Care,
13,Emergency Medicine,URGENT CARE (Elective),
13,Emergency Medicine,URGENT CARE (Emergency),
15,Endodontics,Endodontist,
16,Family Medicine,Family Medicine,
16,Family Medicine,FAMILY MEDICINE - Teleconsultation,
16,Family Medicine,FAMILY MEDICINE-Tele Consult,
16,Family Medicine,LLHMC FAMILY MEDICINE,
16,Family Medicine,SPECIALIST FAMILY MEDICNE,
16,Family Medicine,SPECIALIST FAMILY MEDICNE - Teleconsultation,
19,General Dentist,GENERAL DENTIST,
19,General Dentist,General Dentistry,
19,General Dentist,GP Dentist,
20,General Practitioner,OCMC GENERAL PRACTITIONER,
20,General Practitioner,G.P,
20,General Practitioner,G.P.CLINICS,
20,General Practitioner,General,true
20,General Practitioner,General / Aesthetic Medicine,
20,General Practitioner,GENERAL MEDICINE,
20,General Practitioner,General Physician,
20,General Practitioner,General Pra,
20,General Practitioner,General Practice,
20,General Practitioner,General Practitioner,
20,General Practitioner,General Practitioner (GP),
20,General Practitioner,GENERAL PRACTITIONER-Teleconsultation,
20,General Practitioner,General Service,
20,General Practitioner,GP,
20,General Practitioner,GP (Pediatrics),
20,General Practitioner,GP Clinic,
20,General Practitioner,GP Medicine,
20,General Practitioner,GP Practitioner,
20,General Practitioner,GP-MEDICAL,
20,General Practitioner,Medical Practitioner,
20,General Practitioner,OCMC GP Room 1,
20,General Practitioner,OCMC GP Room 2,
20,General Practitioner,OCMC GP Room 3,
20,General Practitioner,OCMC GP Room 4,
20,General Practitioner,Physician,
21,Genito Urinary Medicine,Male Genital System,
23,Intensive care,ICU,
23,Intensive care,Intensivist,
23,Intensive care,NICU,
24,Internal Medicine,PULMONORY,
24,Internal Medicine,Internal Med/Gastro,
24,Internal Medicine,Internal Medice,
24,Internal Medicine,Internal Medicine,
24,Internal Medicine,INTERNAL MEDICINE - Teleconsultation,
24,Internal Medicine,Internal Medicine And Pulmonary Diseases,
24,Internal Medicine,INTERNAL MEDICINE-Tele Consult,
24,Internal Medicine,INTERNAL MEDICINE-Teleconsultation,
24,Internal Medicine,LLHMC INTERNAL MEDICINE,
25,Medical Genetics,Genetic Lab,
25,Medical Genetics,Genetics,
27,Neurology,Nervous System,
27,Neurology,NEUROLOGIST,
27,Neurology,Neurology,
27,Neurology,NEUROLOGY- Teleconsultation,
27,Neurology,NEUROLOGY-Tele Consult,
27,Neurology,Specialist Neurologist,
29,Obstetrics & Gynecology,LLHMC GYNECOLOGY,
29,Obstetrics & Gynecology,Gynaecology,
29,Obstetrics & Gynecology,Gynaecology And Obstretics,
29,Obstetrics & Gynecology,Gynecologist,
29,Obstetrics & Gynecology,Gynecology,
29,Obstetrics & Gynecology,GYNECOLOGY AND OBSTERICS,
29,Obstetrics & Gynecology,Gynecology And Obstetrics,
29,Obstetrics & Gynecology,Gynecology Clinic,
29,Obstetrics & Gynecology,Gynecolology,
29,Obstetrics & Gynecology,GYNEOCOLOGY,
29,Obstetrics & Gynecology,OB-GYNE,
29,Obstetrics & Gynecology,OB/Gyn,
29,Obstetrics & Gynecology,OBSTETRICS,
29,Obstetrics & Gynecology,OBSTETRICS / GYNAECOLOGY,
29,Obstetrics & Gynecology,Obstetrics & gynaecology,
29,Obstetrics & Gynecology,OBSTETRICS & GYNAECOLOGY-Tele Consult,
29,Obstetrics & Gynecology,OBSTETRICS & GYNAECOLOGY-Teleconsultation,
29,Obstetrics & Gynecology,Obstetrics & Gynecology,
29,Obstetrics & Gynecology,Obstetrics And Gynecology,
29,Obstetrics & Gynecology,Obstetrics Gynecology,
29,Obstetrics & Gynecology,Specialist OB-GYNE,
30,Occupational Medicine,Occupational Health,
30,Occupational Medicine,OCCUPATIONAL MEDICINE,
30,Occupational Medicine,Occupational Therapist,
