malaffi_code,malaffi_description,hms_name,is_default
IH,Inhalation,Aerosol Inhaler,
PR,Rectal,Anal,
PR,Rectal,ANAL,
IA,Intra-arterial,Arterial supply,
IA,Intra-arterial,ARTERIOVENOUS,
B,Buccal,BUCCAL,
B,Buccal,Buccal,
B,Buccal,BUCCAL.,
PO,Oral,Capsules (Hard Gelatin),
PO,Oral,Chewable Tablets,
PO,Oral,CHEWINGUM,
PO,Oral,Coated Tablets,
PO,Oral,Cough Mixture Syrup,
TP,Topical,CREAM,
TP,Topical,Cream,
TP,Topical,Cutaneous,
DT,Dental,DENTAL,
DT,Dental,DENTAL INFILTRATION INJ. DENTAL BLOCK,
DT,Dental,DENTAL INJECTION,
TP,Topical,DERMAL,
NS,Nasal,DROP NASL,
OP,Ophthalmic,DROPE/E/N,
MTH,Mouth/Throat,Drops (Oral),
MTH,Mouth/Throat,Mouth Gargles,
MTH,Mouth/Throat,Mouth paint,
MTH,Mouth/Throat,Mouth Wash,
MTH,Mouth/Throat,MOUTH WASH,
MTH,Mouth/Throat,MOUTHWASH,
NA,Not Available,N/A,true
NS,Nasal,Nasal,
NS,Nasal,NASAL,
NS,Nasal,nasal,
NS,Nasal,NASAL DROP,
NS,Nasal,nasal drop,
NS,Nasal,Nasal Drops,
NS,Nasal,nasal drops (solution),
NS,Nasal,nasal gel,
NS,Nasal,nasal inhaler,
NS,Nasal,nasal ointment,
NS,Nasal,NASAL SPRAY,
NS,Nasal,nasal spray,
NS,Nasal,nasal spray pump,
NS,Nasal,NASAL.,
OP,Ophthalmic,OINT EYE,
OP,Ophthalmic,OPHTHALMIC,
OP,Ophthalmic,Ophthalmic,
OP,Ophthalmic,OPHTHELAMIC,
OP,Ophthalmic,OPTHALMIC,
OP,Ophthalmic,Opthalmic,
OT,Otic,OTC,
OT,Otic,OTIC,
OT,Otic,Otic,
OT,Otic,OTIC.,
OT,Otic,Otologic,
PN,Perineural,PERIANAL,
PR,Rectal,Rectal,
PR,Rectal,RECTAL,
PR,Rectal,Rectal Suppositories,
PR,Rectal,Rectal Tubes,
PR,Rectal,RECTAL.,
PR,Rectal,Rectally,
PR,Rectal,RRECTAL,
SC,Subcutaneous,S /C,
SC,Subcutaneous,S/C,
SL,Sublingual,S/L,
SC,Subcutaneous,SC,
SC,Subcutaneous,SC.,
SC,Subcutaneous,Sub Cutaneous,
SC,Subcutaneous,SUB CUTANEOUS,
SL,Sublingual,SUB LINGUAL,
SC,Subcutaneous,Subcutaneous,
SC,Subcutaneous,SUBCUTANEOUS,
SC,Subcutaneous,subcutaneous,
SC,Subcutaneous,subcutaneous S.C,
SC,Subcutaneous,Subcutanious,
SL,Sublingual,Sublingual,
SL,Sublingual,SUBLINGUAL,
SL,Sublingual,Sublingual or buccal,
SL,Sublingual,SUBLINGUAL.,
SL,Sublingual,Sublingually,
SL,Sublingual,SUBLINGUBAL,
TP,Topical,Topical,
TP,Topical,TOPICAL,
TP,Topical,TOPICAL ANNAL,
TP,Topical,Topical Cream,
TP,Topical,TOPICAL- SCALP,
TP,Topical,TOPICAL.,
TD,Transdermal,TRANSDERMAL,
TD,Transdermal,Transdermal,
TD,Transdermal,Transdermul,
TP,Topical,Tropical,
UR,Urethral,URETHRAL,
UR,Urethral,Urethral,
VG,Vaginal,Vaginal,
VG,Vaginal,VAGINAL,
VG,Vaginal,VAGINAL ROUT,
VG,Vaginal,VAGINAL ROUTE,
VG,Vaginal,VAGINAL.,
VG,Vaginal,VIGINAL,
