malaffi_code,malaffi_description,hms_name,is_default
MU,Muslim,Islam,
MU,Muslim,Muslim,
CHR,Christianity,Christian,
AOG,Christian: Assembly of God,,
BAP,Christian: Baptist,,
BUD,Buddhist,Buddhist,
CAT,Christian: Roman Catholic,,
COC,Christian: Church of Christ,,
COG,Christian: Church of God,,
GRE,Christian: Greek Orthodox,,
HIN,Hindu,Hindu,
JH,Jewish,Jewish,
JWN,Christian: Jehovah's Witness,,
LUT,Christian: Lutheran,,
MET,Christian: Methodist,,
MOM,Christian: Latter-day Saints,,
NAZ,Christian: Church of the Nazarene,,
OTH,Other,Agnostic,true
OTH,Other,Atheist,
OTH,Other,Baha'i,
OTH,Other,Confucian,
OTH,Other,Chinese Folk Religionist,
OTH,Other,Ethnic Religionist,
OTH,Other,Jain,
OTH,Other,Other,
OTH,Other,Others,
OTH,Other,Parsi,
OTH,Other,Shintoist,
OTH,Other,Sikh,
OTH,Other,Spiritist,
PEN,Christian: Pentecostal,,
PRE,Christian: Presbyterian,,
SEV,Christian: Seventh Day Adventist,,
VAR,Unknown,Unknown,
EPI,Christian: Episcopalian,,
